Current_Word,Next_Word,Levenshtein_distance
Apple,Mac,5
Mac,mini,4
mini,gets,4
gets,warm,4
warm,"welcome

The",10
"welcome

The",Mac,11
Mac,mini,4
mini,gets,4
welcomed,Apple,7
Apple,Mac,5
fans,industry,7
industry,experts,7
experts,PC,7
PC,"users

The",10
"users

The",release,8
release,tiny,7
tiny,lowcost,7
lowcost,machine,7
machine,seen,6
seen,good,4
good,Apple,5
Apple,Mac,5
currently,small,8
small,share,3
share,desktop,6
desktop,computer,7
computer,market,6
market,Mac,5
Mac,mini,4
watchers,analysts,7
analysts,Mac,7
Mac,mini,4
mini,gets,4
long,way,4
way,help,4
help,Apple,4
Apple,Mac,5
appeal,mass,6
mass,consumers,7
consumers,They,8
They,speculate,8
speculate,Mac,8
Mac,mini,4
mini,gets,4
bought,iPod,6
iPod,owners,6
owners,wanting,6
wanting,easytouse,7
easytouse,administer,8
administer,second,9
second,home,5
home,"computer

It's",11
"computer

It's",bravest,12
bravest,said,6
said,Jonny,5
Jonny,Evans,4
Evans,news,4
news,editor,6
editor,Macworld,6
Macworld,magazine,7
magazine,Mr,8
Mr,Evans,5
Evans,news,4
said,Jonny,5
combination,low,10
low,cost,3
cost,small,5
small,share,3
size,huge,3
huge,numbers,5
numbers,iPod,7
iPod,owners,6
users,big,5
big,"success

He",11
"success

He",thought,11
thought,machine,7
machine,seen,6
appeal,mass,6
like,Apple,4
Apple,Mac,5
technology,balked,9
balked,paying,5
paying,high,5
high,prices,5
prices,hardware,7
hardware,It's,8
It's,deeply,6
deeply,affordable,9
affordable,said,9
said,Jonny,5
Plus,know,4
know,viruses,7
viruses,associated,9
associated,problems,9
problems,Already,8
Already,said,6
said,Jonny,5
PC,"users

The",10
owning,friends,6
friends,declared,8
declared,buying,8
buying,Interest,8
Interest,new,6
new,products,8
products,launched,8
launched,Macworld,6
Macworld,magazine,7
expo,strong,5
strong,websites,8
websites,Apple's,7
Apple's,store,6
store,struggled,6
struggled,cope,8
cope,demand,6
demand,According,8
According,response,9
response,statistics,9
statistics,gathered,8
gathered,Netcraft,7
Netcraft,visiting,8
visiting,Apple,8
Apple,Mac,5
store,struggled,6
wake,Mr,4
Mr,Evans,5
Jobs',speech,6
speech,suffered,6
suffered,lengthy,8
lengthy,response,7
response,statistics,9
times,The,4
The,Macworld,8
Macworld,magazine,7
Expo,site,4
site,completely,8
completely,overwhelmed,9
overwhelmed,went,9
went,"offline

I",9
"offline

I",think,8
think,fundamentally,12
fundamentally,it's,12
it's,good,4
good,Apple,5
idea,it's,3
it's,good,4
cheap,PC,5
PC,"users

The",10
said,Jonny,5
Nick,Ross,4
Ross,deputy,6
deputy,labs,6
labs,editor,6
editor,Macworld,6
PC,"users

The",10
Pro,Apple's,7
Apple's,store,6
work,making,6
making,things,4
things,easy,6
easy,use,3
use,help,4
help,Apple,4
Mac,mini,4
mini,gets,4
win,fans,3
fans,industry,7
said,Jonny,5
I,think,5
think,fundamentally,12
people,expect,5
expect,work,6
work,making,6
hesaid,The,5
The,Macworld,8
Mac,mini,4
mini,gets,4
find,role,4
role,homes,3
homes,need,4
need,second,4
second,home,5
computer,market,6
easy,use,3
install,administer,7
administer,second,9
said,Jonny,5
For,browsing,7
browsing,web,7
web,email,5
email,kinds,5
kinds,basic,5
basic,duties,5
duties,it's,4
it's,good,4
going,absolutely,9
absolutely,adequate,7
adequate,said,7
said,Jonny,5
Mr,Evans,5
Ross,deputy,6
Ian,Fogg,4
Fogg,broadband,8
broadband,personal,8
personal,technology,8
technology,balked,9
analyst,Jupiter,7
Jupiter,Research,8
Research,agreed,7
agreed,Mac,6
Mac,mini,4
mini,gets,4
popular,Apple,5
Apple,Mac,5
hoping,sales,6
sales,iPod,5
iPod,owners,6
halo,effect,6
effect,sales,5
sales,iPod,5
Mac,mini,4
"said

Before",said,8
said,Jonny,5
Apple,Mac,5
seen,good,4
premium,brand,6
brand,But,5
But,said,4
said,Jonny,5
Mac,mini,4
mini,gets,4
changed,perception,9
perception,It's,9
It's,deeply,6
particularly,good,12
good,Apple,5
price,it's,5
it's,good,4
Apple,Mac,5
said,Jonny,5
Apple,Mac,5
expects,Mac,6
Mac,mini,4
mini,gets,4
sell,£339,4
£339,UK,4
UK,$499,4
$499,US,4
US,Adding,6
Adding,extras,6
extras,larger,6
larger,hard,4
hard,drive,5
drive,memory,6
memory,networking,7
networking,options,7
options,increase,7
increase,basic,7
basic,duties,5
price,it's,5
It,sale,4
sale,22,4
22,January,7
January,For,6
For,browsing,7
consumers,They,8
interested,style,8
style,design,6
design,small,6
small,share,3
size,huge,3
,majority,8
majority,iPod,7
iPod,owners,6
customers,interested,9
interested,style,8
,majority,8
it's,good,4
natural,step,6
step,said,3
said,Jonny,5
Mr,Evans,5
Fogg,broadband,8
Apple,Mac,5
traditionally,market,12
market,Mac,5
Mac,mini,4
mini,gets,4
aimed,said,3
said,Jonny,5
Mr,Evans,5
Fogg,broadband,8
expected,PC,8
PC,"users

The",10
makers,release,5
release,tiny,7
copycat,devices,6
devices,"reaction

His",10
"reaction

His",misgivings,11
misgivings,easy,9
easy,use,3
consumers,They,8
iPod,owners,6
owners,wanting,6
find,role,4
machine,seen,6
He,said,4
said,Jonny,5
wanting,easytouse,7
use,help,4
Mac,mini,4
mini,gets,4
peripherals,old,10
old,computer,7
computer,market,6
find,role,4
odd,small,5
small,share,3
sleek,hulking,6
hulking,monitor,7
monitor,They'd,7
They'd,likely,6
likely,pair,6
pair,Mac,3
Mac,mini,4
mini,gets,4
LCD,flat,4
flat,panel,5
panel,monitor,6
monitor,They'd,7
increases,upgrade,6
upgrade,cost,7
cost,small,5
said,Jonny,5
Those,flat,5
flat,panel,5
screens,LCD,7
LCD,flat,4
monitors,likely,7
likely,pair,6
bought,iPod,6
recently,market,7
market,Mac,5
new,products,8
"machine

There",questions,13
questions,Mac,9
Mac,mini,4
mini,gets,4
work,making,6
old,computer,7
peripherals,old,10
display,keyboard,7
keyboard,mouse,7
mouse,The,4
The,Macworld,8
Mac,mini,4
mini,gets,4
fell,short,5
short,media,5
media,server,5
server,video,5
video,recorder,6
recorder,store,5
store,struggled,6
digital,music,6
music,movies,4
movies,images,4
images,people,6
people,expect,5
accumulate,said,9
said,Jonny,5
Mr,Evans,5
Fogg,broadband,8
The,Macworld,8
Mac,mini,4
mini,gets,4
ready,said,4
said,Jonny,5
It,sale,4
right,connectors,9
connectors,fit,9
fit,TV,3
TV,screen,6
screen,storage,5
storage,Said,6
Said,Mr,4
Mr,Evans,5
Fogg,broadband,8
It's,deeply,6
computer,market,6
One,dissenting,9
dissenting,opinion,8
opinion,came,7
came,Brian,5
Brian,Gammage,6
Gammage,vicepresident,12
vicepresident,research,10
research,analysts,8
analysts,Mac,7
Gartner,He,6
He,said,4
said,Jonny,5
I,think,5
don't,think,5
think,fundamentally,12
changes,world,7
world,Although,7
Although,Mac,8
Mac,mini,4
mini,gets,4
cheap,PC,5
Apple,Mac,5
computer,market,6
expensive,compared,9
compared,PCs,8
PCs,Also,3
Also,said,4
said,Jonny,5
appealed,categories,8
categories,consumers,8
consumers,They,8
care,buying,6
buying,Interest,8
home,"computer

It's",11
computer,market,6
The,Macworld,8
PC,"users

The",10
world,Although,7
pileemhigh,sellemcheap,7
sellemcheap,market,10
market,Mac,5
said,Jonny,5
pretty,interchangeable,13
interchangeable,Since,12
Since,days,5
