Current_Word,Next_Word,Levenshtein_distance
Ink,helps,5
helps,drive,5
drive,democracy,7
democracy,"Asia

The",9
"Asia

The",Kyrgyz,9
Kyrgyz,Republic,8
Republic,small,7
small,mountainous,10
mountainous,state,9
state,Soviet,5
Soviet,republic,8
republic,invisible,8
invisible,ink,7
ink,ultraviolet,10
ultraviolet,readers,10
readers,country's,7
country's,elections,7
elections,drive,8
drive,democracy,7
prevent,multiple,8
multiple,"voting

This",11
"voting

This",new,11
new,technology,9
technology,causing,8
causing,worries,6
worries,guarded,5
guarded,optimism,8
optimism,different,9
different,sectors,8
sectors,population,9
population,In,9
In,effort,6
effort,live,6
live,reputation,9
reputation,1990s,10
1990s,island,6
island,democracy,8
democracy,"Asia

The",9
Kyrgyz,Republic,8
President,Askar,8
Askar,Akaev,3
Akaev,pushed,5
pushed,law,6
law,requiring,9
requiring,use,8
use,ink,3
ink,ultraviolet,10
upcoming,Parliamentary,11
Parliamentary,Presidential,8
Presidential,elections,9
elections,drive,8
The,US,3
US,government,10
government,agreed,8
agreed,fund,5
fund,expenses,7
expenses,associated,9
associated,"decision

The",11
"decision

The",Kyrgyz,13
Kyrgyz,Republic,8
Republic,small,7
seen,experts,6
experts,backsliding,11
backsliding,high,10
high,point,4
point,reached,7
reached,mid1990s,8
mid1990s,hastily,8
hastily,pushed,6
pushed,law,6
referendum,2003,10
2003,reducing,8
reducing,legislative,9
legislative,branch,10
branch,chamber,6
chamber,75,7
75,deputies,8
deputies,The,7
The,US,3
use,ink,3
ink,ultraviolet,10
general,effort,6
effort,live,6
commitment,open,7
open,elections,7
elections,drive,8
,German,6
German,Embassy,7
Embassy,Soros,6
Soros,Foundation,8
Foundation,Kyrgyz,10
Kyrgyz,Republic,8
government,agreed,8
contributed,purchase,9
purchase,transparent,9
transparent,ballot,9
ballot,"boxes

The",9
"boxes

The",actual,10
actual,technology,8
technology,causing,8
ink,ultraviolet,10
complicated,The,10
The,US,3
ink,ultraviolet,10
sprayed,person's,7
person's,left,7
left,thumb,5
thumb,It,5
It,dries,5
dries,visible,6
visible,normal,6
normal,"light

However",13
"light

However",presence,13
presence,ultraviolet,9
ultraviolet,readers,10
light,kind,4
kind,verify,5
verify,money,5
money,causes,5
causes,ink,6
ink,ultraviolet,10
glow,neon,3
neon,yellow,4
yellow,light,6
light,kind,4
At,entrance,7
entrance,polling,7
polling,station,6
station,election,4
election,official,7
official,scan,6
scan,voter's,7
voter's,fingers,5
fingers,UV,7
UV,lamp,4
lamp,allowing,7
allowing,enter,8
enter,voter,2
voter,his/her,5
his/her,left,7
left,thumb,5
thumb,It,5
sprayed,person's,7
ink,ultraviolet,10
receiving,ballot,9
ballot,"boxes

The",9
If,ink,3
ink,ultraviolet,10
shows,UV,5
UV,lamp,4
light,kind,4
voter,his/her,5
allowed,enter,6
enter,voter,2
polling,station,6
station,election,4
Likewise,voter,7
voter,his/her,5
refuses,inked,6
inked,receive,6
receive,ballot,7
ballot,"boxes

The",9
These,elections,8
elections,drive,8
assuming,greater,8
greater,significance,10
significance,large,10
large,factors,6
factors,,7
,German,6
upcoming,Parliamentary,11
parliamentary,elections,11
elections,drive,8
prelude,potentially,9
potentially,regime,9
regime,changing,6
changing,presidential,10
presidential,election,8
election,official,7
Autumn,echo,6
echo,recent,4
recent,elections,6
elections,drive,8
Soviet,republic,8
Republics,notably,7
notably,Ukraine,6
Ukraine,Georgia,6
Georgia,The,7
The,US,3
use,ink,3
ink,ultraviolet,10
controversial,,13
,German,6
especially,groups,10
groups,perceived,8
perceived,"progovernment

Widely",15
"progovernment

Widely",circulated,18
circulated,articles,8
articles,compared,7
compared,use,7
use,ink,3
ink,ultraviolet,10
rural,practice,7
practice,marking,6
marking,sheep,7
sheep,,5
,German,6
common,metaphor,7
metaphor,primarily,8
primarily,agricultural,9
agricultural,"society

The",11
"society

The",author,11
author,article,5
article,began,7
began,petition,6
petition,drive,7
drive,democracy,7
use,ink,3
ink,ultraviolet,10
The,US,3
greatest,opposition,9
opposition,ink,9
ink,ultraviolet,10
sheer,ignorance,8
ignorance,Local,7
Local,newspapers,9
newspapers,carried,9
carried,stories,4
stories,ink,6
ink,ultraviolet,10
harmful,radioactive,10
radioactive,ultraviolet,9
ultraviolet,readers,10
readers,country's,7
cause,health,5
health,problems,7
problems,Others,6
Others,aggressively,10
aggressively,middle,10
middle,road,5
road,Coalition,7
Coalition,Nongovernmental,13
Nongovernmental,Organizations,14
Organizations,lauded,12
lauded,important,9
important,step,8
step,forward,7
forward,This,7
This,type,4
type,ink,4
ink,ultraviolet,10
elections,drive,8
world,countries,7
countries,varied,6
varied,Serbia,5
Serbia,South,5
South,Africa,6
Africa,Indonesia,8
Indonesia,Turkey,8
Turkey,The,4
The,US,3
common,metaphor,7
type,ink,4
ink,ultraviolet,10
elections,drive,8
indelible,visible,5
visible,normal,6
ink,ultraviolet,10
,German,6
elections,drive,8
Afghanistan,showed,10
showed,improper,6
improper,use,7
use,ink,3
type,ink,4
ink,ultraviolet,10
cause,health,5
additional,problems,10
problems,Others,6
The,US,3
use,ink,3
invisible,ink,7
ink,ultraviolet,10
problems,Others,6
In,effort,6
elections,drive,8
numerous,rumors,4
rumors,spread,6
spread,"it

In",6
"it

In",Serbia,6
Serbia,South,5
example,Christian,9
Christian,Islamic,8
Islamic,leaders,7
leaders,assured,7
assured,populations,10
populations,use,10
use,ink,3
contrary,religion,8
religion,Other,8
Other,rumours,6
rumours,associated,9
associated,"decision

The",11
remove,ink,6
ink,ultraviolet,10
,German,6
soft,drinks,6
drinks,solvents,6
solvents,cleaning,7
cleaning,products,8
products,forward,7
forward,This,7
However,reality,7
reality,ink,6
ink,ultraviolet,10
effective,getting,6
getting,cuticle,6
cuticle,thumb,6
thumb,It,5
difficult,wash,9
wash,The,4
The,US,3
ink,ultraviolet,10
stays,finger,6
finger,72,6
72,hours,5
hours,week,5
week,The,3
The,US,3
use,ink,3
ink,ultraviolet,10
readers,country's,7
panacea,election,8
election,official,7
ills,The,4
The,US,3
passage,inking,6
inking,law,6
law,requiring,9
clear,step,4
step,forward,7
forward,This,7
free,fair,3
fair,elections,8
elections,drive,8
The,US,3
country's,elections,7
widely,watched,6
watched,parliamentary,11
parliamentary,elections,11
elections,drive,8
scheduled,27,9
27,"February

David",15
"February

David",Mikosz,15
Mikosz,works,5
works,IFES,5
IFES,international,13
international,nonprofit,10
nonprofit,organisation,10
organisation,supports,11
supports,building,7
building,democratic,10
democratic,"societies
",8
"societies
",China,9
China,net,5
net,cafe,4
cafe,culture,5
culture,"crackdown

Chinese",16
"crackdown

Chinese",authorities,13
authorities,closed,9
closed,12575,6
12575,net,5
net,cafe,4
cafes,closing,6
closing,months,6
months,2004,6
2004,country's,9
country's,elections,7
government,agreed,8
"said

According",official,13
official,scan,6
news,agency,5
agency,net,5
net,cafe,4
cafes,closing,6
closed,12575,6
operating,illegally,8
illegally,Chinese,9
Chinese,net,5
net,cafe,4
cafes,closing,6
operate,set,5
set,strict,4
strict,guidelines,9
guidelines,recently,9
recently,closed,7
closed,12575,6
broke,rules,4
rules,limit,5
limit,close,5
close,schools,5
schools,The,6
The,US,3
latest,series,5
series,steps,4
steps,Chinese,6
Chinese,net,5
government,agreed,8
taken,crack,5
crack,considers,8
considers,immoral,9
immoral,net,7
net,cafe,4
"use

The",official,8
official,scan,6
Xinhua,News,6
News,Agency,5
Agency,said,6
said,crackdown,7
crackdown,carried,7
carried,stories,4
create,safer,5
